Sample_ID,Chunk_ID,Provision_Type,Jurisdiction,Source_Text,Extracted_RDF,Q1_Subject_Faithful,Q2_Predicate_Faithful,Q3_Object_Faithful,Q4_Overall_Faithful
001,AUS-UNIT-00594,CalculationRule,AU,"Parts of the levy are calculated using a provider’s validated data from previous years so that it reflects the provider’s actual enrolments and risk. Therefore, it is essential that you ensure your reportable data is up to date. The levy is held in a sector-specific quarantined account and is used to support students and providers. Tuition protection arrangements can be used only for tuition fees paid using a VET Student Loan.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-au: <https://w3id.org/cco-gro/onto/au#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:AUS_UNIT_00594 a prov:Entity ;
    rdfs:label ""Source: AUS-UNIT-00594"" .

gro-au:LevyPart a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Levy Part"" ;
    skos:definition ""A portion of the levy that is calculated using a provider's validated data from previous years to reflect actual enrolments and risk."" .

data:AUS_UNIT_00594_subject_2c8009 a gro-au:LevyPart ;
    rdfs:label ""Levy Part"" ;
    skos:definition ""Parts of the levy that are calculated using a provider's validated data from previous years so that it reflects the provider's actual enrolments and risk."" ;
    prov:wasDerivedFrom data:AUS_UNIT_00594 .

data:AUS_UNIT_00594_object_ec2f7e a cco:Resource ;
    rdfs:label ""Validated Provider Data"" ;
    skos:definition ""A provider's validated data from previous years used in the calculation of levy parts."" ;
    prov:wasDerivedFrom data:AUS_UNIT_00594 .

data:AUS_UNIT_00594_action_c50b59 a cco:Action ;
    rdfs:label ""Levy Part Calculation"" ;
    cco:hasActionExpression ""Parts of the levy are calculated using a provider's validated data from previous years"" ;
    prov:wasDerivedFrom data:AUS_UNIT_00594 .

data:AUS_UNIT_00594_condition_prev_years a cco:Condition ;
    rdfs:label ""Previous Years Data"" ;
    cco:hasConditionExpression ""from previous years"" ;
    prov:wasDerivedFrom data:AUS_UNIT_00594 .

data:AUS_UNIT_00594_norm_4b7e57 a cco:Norm ;
    rdfs:label ""Levy Calculation Rule"" ;
    skos:definition ""Parts of the levy are calculated using a provider's validated data from previous years so that it reflects the provider's actual enrolments and risk."" ;
    cco:hasObject data:AUS_UNIT_00594_subject_2c8009 ;
    cco:hasAction data:AUS_UNIT_00594_action_c50b59 ;
    cco:appliesUnder data:AUS_UNIT_00594_condition_prev_years ;
    prov:wasDerivedFrom data:AUS_UNIT_00594 .",P,P,P,P
002,CAN-UNIT-00357,CalculationRule,CA,"StudentAid BC assesses a student’s financial need based on information provided through a student’s StudentAid BC application. The assessment of need process evaluates the student’s allowable costs and the student and/or family’s available resources to determine the student’s assessed financial need. Some financial information provided in the application may be verified against the applicant’s Income Tax Return Notice of Assessment. Applicants are considered for student financial assistance through both federal and provincial loan and grant programs. Each student’s application is subject to both a federal financial need assessment calculation based on Canada Student Financial Assistance Program policy, and a provincial financial need assessment calculation based on StudentAid BC policy. As a result, each StudentAid BC application will result in both a federal assessed need and a provincial assessed need.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:CAN_UNIT_00357 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00357"" .

gro-ca:AssessedFinancialNeed a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Assessed Financial Need"" ;
    skos:definition ""The calculated financial need of a student, determined by evaluating allowable costs against available resources as part of the StudentAid BC assessment process."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00357 .

gro-ca:StudentAidBC a owl:Class ;
    rdfs:subClassOf cco:Organisation ;
    rdfs:label ""StudentAid BC"" ;
    skos:definition ""The provincial organisation responsible for assessing student financial need and administering student financial assistance in British Columbia, Canada."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00357 .

data:CAN_UNIT_00357_subject_d9cf90 a gro-ca:StudentAidBC ;
    rdfs:label ""StudentAid BC"" ;
    skos:altLabel ""StudentAid BC"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00357 .

data:CAN_UNIT_00357_action_2e8c39 a cco:Action ;
    rdfs:label ""Financial Need Assessment"" ;
    cco:hasActionExpression ""assesses a student’s financial need based on information provided through a student’s StudentAid BC application"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00357 .

data:CAN_UNIT_00357_object_b0b89d a gro-ca:AssessedFinancialNeed ;
    rdfs:label ""Student Financial Need"" ;
    skos:definition ""The financial need of a student as assessed by StudentAid BC, based on allowable costs and available resources."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00357 .

data:CAN_UNIT_00357_authority_cd231e a cco:RegulatoryAuthorityAgent ;
    rdfs:label ""StudentAid BC Authority"" ;
    prov:wasDerivedFrom data:CAN_UNIT_00357 .

data:CAN_UNIT_00357_norm_fca4c6 a cco:Obligation ;
    rdfs:label ""Financial Need Assessment Obligation"" ;
    gro:hasSubject data:CAN_UNIT_00357_subject_d9cf90 ;
    cco:hasAction data:CAN_UNIT_00357_action_2e8c39 ;
    cco:hasObject data:CAN_UNIT_00357_object_b0b89d ;
    prov:wasDerivedFrom data:CAN_UNIT_00357 .",Y,P,P,P
003,UK-UNIT-00111,CalculationRule,UK,"Calculate the percentage of prior learning that the individual has, as a percentage of the off-the-job training hours that would be delivered to an individual with no relevant prior learning for the same standard. Providers must use their own planned hours which must be at least (but can be higher than) the volume of off-the-job training hours published on the standard (or in Annex C) as the starting point for the calculation (see paragraph 80). For example, if the individual’s prior learning accounts for 300 off-the-job training hours and typically, for the same standard, the provider would usually plan to deliver 1,000 hours to an individual with no prior learning, this would equate to a 30% prior learning percentage. Further examples can be found in the RPL guidance (see paragraph 30.2).","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-uk: <https://w3id.org/cco-gro/onto/uk#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:UK_UNIT_00111 a prov:Entity ;
    rdfs:label ""Source: UK-UNIT-00111"" .

gro-uk:PriorLearningPercentage a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Prior Learning Percentage"" ;
    skos:definition ""The percentage of prior learning that an individual has, calculated as a percentage of the off-the-job training hours that would be delivered to an individual with no relevant prior learning for the same standard."" ;
    prov:wasDerivedFrom data:UK_UNIT_00111 .

data:UK_UNIT_00111_subject_37e0da a cco:Organisation ;
    rdfs:label ""Provider"" ;
    skos:definition ""An organisation that delivers training and must calculate the prior learning percentage."" ;
    prov:wasDerivedFrom data:UK_UNIT_00111 .

data:UK_UNIT_00111_action_137735 a cco:Action ;
    rdfs:label ""Calculate Prior Learning Percentage"" ;
    cco:hasActionExpression ""Calculate the percentage of prior learning that the individual has, as a percentage of the off-the-job training hours that would be delivered to an individual with no relevant prior learning for the same standard."" ;
    prov:wasDerivedFrom data:UK_UNIT_00111 .

data:UK_UNIT_00111_object_a89e5e a gro-uk:PriorLearningPercentage ;
    rdfs:label ""Prior Learning Percentage"" ;
    skos:definition ""The calculated percentage representing an individual's prior learning relative to standard off-the-job training hours."" ;
    prov:wasDerivedFrom data:UK_UNIT_00111 .

data:UK_UNIT_00111_condition_planned_hours a cco:Condition ;
    rdfs:label ""Planned Hours Starting Point"" ;
    cco:hasConditionExpression ""Providers must use their own planned hours which must be at least (but can be higher than) the volume of off-the-job training hours published on the standard (or in Annex C) as the starting point for the calculation (see paragraph 80)."" ;
    prov:wasDerivedFrom data:UK_UNIT_00111 .

data:UK_UNIT_00111_norm_1ee185 a cco:Obligation ;
    rdfs:label ""Prior Learning Calculation Obligation"" ;
    gro:hasSubject data:UK_UNIT_00111_subject_37e0da ;
    cco:hasAction data:UK_UNIT_00111_action_137735 ;
    cco:hasObject data:UK_UNIT_00111_object_a89e5e ;
    cco:appliesUnder data:UK_UNIT_00111_condition_planned_hours ;
    prov:wasDerivedFrom data:UK_UNIT_00111 .",Y,Y,Y,Y
004,USA-UNIT-00193,CalculationRule,US,"Student's (and Spouse's) available income. The student's (and spouse's) available income is calculated by subtracting certain allowances from the student's (and spouse's) total income. These allowances account for certain nondiscretionary expenses, such as taxes and basic living expenses. Once a minimum level of support has been offset for those expenses, the formula assumes that the remaining income is available for discretionary purposes, including paying for a postsecondary education. The available income can be a negative number. The student's (and spouse's) available income is the sum of the taxable and untaxed income minus amounts reported in the income but excluded from the formula (offsets and allowances). Student's (and spouse's) taxed/untaxed income. The sum of the following items, reported on a U.S. tax return, is the student's (and spouse's) total income:","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-us: <https://w3id.org/cco-gro/onto/us#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:USA_UNIT_00193 a prov:Entity ;
    rdfs:label ""Source: USA-UNIT-00193"" .

gro-us:AvailableIncome a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Available Income"" ;
    skos:definition ""The student's (and spouse's) available income, calculated by subtracting certain allowances from total income. It represents income available for discretionary purposes, including postsecondary education costs."" ;
    prov:wasDerivedFrom data:USA_UNIT_00193 .

data:USA_UNIT_00193_subject_2f0f1c a gro-us:AvailableIncome ;
    rdfs:label ""Student and Spouse Available Income"" ;
    skos:definition ""The student's (and spouse's) available income is calculated by subtracting certain allowances from the student's (and spouse's) total income. These allowances account for certain nondiscretionary expenses, such as taxes and basic living expenses. Once a minimum level of support has been offset for those expenses, the formula assumes that the remaining income is available for discretionary purposes, including paying for a postsecondary education. The available income can be a negative number. The student's (and spouse's) available income is the sum of the taxable and untaxed income minus amounts reported in the income but excluded from the formula (offsets and allowances)."" ;
    skos:altLabel ""Student's (and Spouse's) available income"" ;
    prov:wasDerivedFrom data:USA_UNIT_00193 .

data:USA_UNIT_00193_action_d4629c a cco:Action ;
    rdfs:label ""Calculate Available Income"" ;
    cco:hasActionExpression ""The student's (and spouse's) available income is calculated by subtracting certain allowances from the student's (and spouse's) total income."" ;
    prov:wasDerivedFrom data:USA_UNIT_00193 .

data:USA_UNIT_00193_object_b0c5f2 a cco:Resource ;
    rdfs:label ""Available Income"" ;
    skos:definition ""The resulting available income amount, which can be a negative number."" ;
    prov:wasDerivedFrom data:USA_UNIT_00193 .

data:USA_UNIT_00193_norm_cc02c4 a cco:Norm ;
    rdfs:label ""Available Income Calculation Rule"" ;
    cco:hasAction data:USA_UNIT_00193_action_d4629c ;
    cco:hasObject data:USA_UNIT_00193_object_b0c5f2 ;
    prov:wasDerivedFrom data:USA_UNIT_00193 .",P,P,P,P
005,AUS-UNIT-00165,Definition,AU,"A tuition fee for a course includes the maximum amount covered by a VET Student Loan and the remaining tuition cost not covered by the loan – the ‘gap fee’. As it’s part of the tuition fee, the gap fee can’t include fees for non -tuition services such as items and equipment that become the student’s physical property and are not consumed in the course (for example, maps, charts or textbooks). These are fees that are not covered by a VET Student Loan. You can offer students a payment plan to help them pay a gap fee or pay all their tuition fees upfront. This will allow them to pay in instalments or defer the payment.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-au: <https://w3id.org/cco-gro/onto/au#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:AUS_UNIT_00165 a prov:Entity ;
    rdfs:label ""Source: AUS-UNIT-00165"" .

gro-au:GapFee a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Gap Fee"" ;
    skos:definition ""A tuition fee for a course includes the maximum amount covered by a VET Student Loan and the remaining tuition cost not covered by the loan – the ‘gap fee’. As it’s part of the tuition fee, the gap fee can’t include fees for non-tuition services such as items and equipment that become the student’s physical property and are not consumed in the course (for example, maps, charts or textbooks)."" ;
    prov:wasDerivedFrom data:AUS_UNIT_00165 .",Y,Y,Y,Y
006,CAN-UNIT-00434,Definition,CA,"• All children 18 years of age and under • All children aged 19 and over who are full-time dependent students • Children with disabilities aged 19 and over • Elderly relatives who are fully supported by the parent(s) and declared on the T1 General Income Tax and Benefit Return • Foster children, where foster parent income is claimed on Appendix 1","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:CAN_UNIT_00434 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00434"" .

gro-ca:FamilySize a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Family Size"" ;
    skos:definition ""Family size includes all children 18 years of age and under, all children aged 19 and over who are full-time dependent students, children with disabilities aged 19 and over, elderly relatives who are fully supported by the parent(s) and declared on the T1 General Income Tax and Benefit Return, and foster children where foster parent income is claimed on Appendix 1."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00434 .",Y,Y,Y,Y
007,CAN-UNIT-00404,Definition,CA,"To describe the various student and/or family resources that are included in the financial need assessment to determine an expected student, spousal and/or parental contribution(s) to meet the assessed costs of post-secondary study. Each student’s application is subject to both a federal need assessment calculation based on Canada Student Financial Assistance Program policies regarding income and other resources, and a provincial need assessment calculation based on Student Aid BC policies regarding income and other resources. The need assessment calculation considers three main types of resources: A. Student expected contribution; B. Spousal/common-law partner expected contribution; and C. Parental/step-parent/legal guardian/sponsor expected contribution. Each type of resource is described in the following sections. A. Student expected contribution The expected student contribution is composed of:","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-ca: <https://w3id.org/cco-gro/onto/ca#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:CAN_UNIT_00404 a prov:Entity ;
    rdfs:label ""Source: CAN-UNIT-00404"" .

gro-ca:StudentAndFamilyResources a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Student and Family Resources"" ;
    skos:definition ""To describe the various student and/or family resources that are included in the financial need assessment to determine an expected student, spousal and/or parental contribution(s) to meet the assessed costs of post-secondary study."" ;
    prov:wasDerivedFrom data:CAN_UNIT_00404 .",Y,Y,P,P
008,UK-UNIT-00269,Definition,UK,The start and end date of the practical period (this is the part of the apprenticeship where evidenced learning is delivered; this does not include the end-point assessment);,"@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-uk: <https://w3id.org/cco-gro/onto/uk#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:UK_UNIT_00269 a prov:Entity ;
    rdfs:label ""Source: UK-UNIT-00269"" .

gro-uk:PracticalPeriod a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Practical Period"" ;
    skos:definition ""The start and end date of the practical period (this is the part of the apprenticeship where evidenced learning is delivered; this does not include the end-point assessment)"" ;
    prov:wasDerivedFrom data:UK_UNIT_00269 .",Y,Y,Y,Y
009,UK-UNIT-00241,Definition,UK,"An apprenticeship is a job with training. Through an apprenticeship, an apprentice will gain the technical knowledge, practical experience and wider skills and behaviours that they need to be competent in their immediate job and future career. The apprentice will gain this through:","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-uk: <https://w3id.org/cco-gro/onto/uk#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:UK_UNIT_00241 a prov:Entity ;
    rdfs:label ""Source: UK-UNIT-00241"" .

gro-uk:Apprenticeship a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Apprenticeship"" ;
    skos:definition ""An apprenticeship is a job with training. Through an apprenticeship, an apprentice will gain the technical knowledge, practical experience and wider skills and behaviours that they need to be competent in their immediate job and future career."" ;
    prov:wasDerivedFrom data:UK_UNIT_00241 .",Y,Y,Y,Y
010,UK-UNIT-01208,Definition,UK,"Learning planned end date When learning towards the apprenticeship is planned to finish. Learning start date This is when learning, which is being funded by the apprenticeship budget, begins. It can include off-the-job training and English and maths. It does not include enrolment, initial assessment or induction. There must be evidence of learning on this date. Learning support Financial support that providers can claim to help with the cost of any reasonable adjustments directly related to an apprenticeship. Currently a fixed monthly amount of £150. Any extra cost can be claimed through the Earnings Adjustment Statement (EAS). Learning support must only be used to support apprentices who have been assessed as having a learning disability or difficulty (for which a reasonable adjustment is required in order for them to undertake their apprenticeship) and is not to be used to address learning gaps. Levy See ‘Apprenticeship levy’. Levy-paying employer An employer, or group of connected employers, with a collective annual pay bill of over £3 million who therefore pay the levy. Main provider A main provider is an organisation that is on the ‘main provider’ route of the Apprenticeship Provider and Assessment Register (APAR). They may be a ‘provider’ or a ‘subcontractor’. See also ‘Provider’ and ‘Subcontractor’.","@prefix cco:    <https://www.w3id.org/cco/cco#> .
@prefix gro:    <https://w3id.org/cco-gro/onto#> .
@prefix gro-uk: <https://w3id.org/cco-gro/onto/uk#> .
@prefix data:   <https://w3id.org/cco-gro/data#> .
@prefix prov:   <http://www.w3.org/ns/prov#> .
@prefix rdf:    <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs:   <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl:    <http://www.w3.org/2002/07/owl#> .
@prefix skos:   <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd:    <http://www.w3.org/2001/XMLSchema#> .

data:UK_UNIT_01208 a prov:Entity ;
    rdfs:label ""Source: UK-UNIT-01208"" .

gro-uk:LearningSupport a owl:Class ;
    rdfs:subClassOf cco:Resource ;
    rdfs:label ""Learning Support"" ;
    skos:definition ""Financial support that providers can claim to help with the cost of any reasonable adjustments directly related to an apprenticeship, currently a fixed monthly amount of £150."" ;
    prov:wasDerivedFrom data:UK_UNIT_01208 .",Y,Y,P,P
