jurisdiction,similarity,class_a,label_a,definition_a,class_b,label_b,definition_b,parent,recommendation,approve_merge
gro-au,0.9797,gro-au:FeeList,Fee List,"A list of fees charged for an approved course, including tuition fees for each part of the course.",gro-au:TuitionFeeList,Tuition Fee List,"A list of tuition fees charged for each approved course, including fees for each part of the course.",cco:Resource,STRONG MERGE (high confidence),YES
gro-au,0.9476,gro-au:VETStudentLoanCap,VET Student Loan Cap,"A maximum loan amount (loan cap) for a VET Student Loans approved course, indexed annually.",gro-au:LoanCap,Loan Cap,A loan cap is the maximum amount a student can borrow as a VET Student Loan for a course.,cco:Resource,STRONG MERGE (high confidence),YES
gro-au,0.944,gro-au:Fees,Fees,Tuition fees charged by an approved course provider for an approved course.,gro-au:TuitionFees,Tuition Fees,Fees charged to a student for an approved course provided by a higher education provider.,cco:Resource,STRONG MERGE (high confidence),YES
gro-au,0.9284,gro-au:ApprovedCourseProviderRole,Approved Course Provider Role,"The role of an approved course provider under the VET Student Loans program, authorized to set tuition fees and receive capped loan amounts.",gro-au:CourseProviderRole,Course Provider Role,The role of an approved course provider under the VET Student Loans program.,cco:Role,STRONG MERGE (high confidence),YES
gro-au,0.9279,gro-au:PreEnrolmentInformation,Pre-Enrolment Information,"Information about course fees, census days, and provider processes that must be given to students before enrolment.",gro-au:EnrolmentInformation,Enrolment Information,"Information about census days, tuition fees, withdrawal procedures, and other required procedures that must be provided to students prior to enrolment.",cco:Resource,STRONG MERGE (high confidence),YES
gro-au,0.9228,gro-au:WithdrawalProcedure,Withdrawal Procedure,A procedure for a student to withdraw from an approved course or part thereof.,gro-au:WithdrawalProcesses,Withdrawal Processes,Processes and procedures for a student to withdraw from an approved course.,cco:Resource,STRONG MERGE (high confidence),YES
gro-au,0.916,gro-au:ApprovedProvider,Approved Provider,An approved provider is a Registered Training Organisation (RTO) that has applied to the department to be an approved VSL course provider and has met all the provider suitability requirements.,gro-au:ApprovedCourseProvider,Approved Course Provider,An approved course provider is a registered training organisation that has been approved to deliver approved courses under VSL.,cco:Role,LIKELY MERGE (review labels/definitions),YES
gro-au,0.9138,gro-au:WithdrawalProcesses,Withdrawal Processes,Processes and procedures for a student to withdraw from an approved course.,gro-au:ProcessesAndProcedures,Processes and Procedures,Documented processes and procedures for student withdrawal and enrolment cancellation in an approved course.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.9114,gro-au:TuitionFee,Tuition Fee,"A fee charged for tuition, which may be adjusted based on the portion of a course a student is required to complete.",gro-au:TuitionFees,Tuition Fees,Fees charged to a student for an approved course provided by a higher education provider.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.9083,gro-au:VETSLDebt,VETSL Debt,"A debt incurred under the VET Student Loan scheme, calculated as the tuition fee plus a 20% loan fee.",gro-au:VSLDebt,VSL Debt,"A VET Student Loan debt that a student may accrue, representing the amount owed under the VSL scheme.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.9064,gro-au:TuitionFeeEstimate,Tuition Fee Estimate,"An estimate of the tuition fees for a course, subject to a maximum cap derived from marketing materials.",gro-au:MaximumTuitionFee,Maximum Tuition Fee,"The maximum tuition fees mentioned in the marketing of a course, serving as an upper bound for estimates.",cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.9034,gro-au:VETStudentLoansProgram,VET Student Loans Program,"The VET Student Loans (VSL) program, designed to support eligible students to access higher level vocational education and training and provide integrity and balance provider risk against performance outcomes to promote delivery, and access to, quality and affordable training for students.",gro-au:VETStudentLoan,VET Student Loan,A loan available to eligible students for vocational education and training under the VET Student Loans program,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.9022,gro-au:TuitionFee,Tuition Fee,"A fee charged for tuition, which may be adjusted based on the portion of a course a student is required to complete.",gro-au:TuitionFeeChange,Tuition Fee Change,A change to tuition fees for a course or part of a course.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.9011,gro-au:TuitionFees,Tuition Fees,Fees charged to a student for an approved course provided by a higher education provider.,gro-au:TuitionFeeResource,Tuition Fee Resource,Tuition fees charged to students for course enrollment.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8992,gro-au:HELPBalanceRecreditDecision,HELP Balance Recredit Decision,A decision made by an educational provider regarding the re-crediting of a student's HELP balance for special circumstances.,gro-au:HELPBalanceRecredit,HELP Balance Re-credit,A re-credit of a student's Higher Education Loan Program (HELP) balance.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8972,gro-au:TuitionFeeLoanAmount,Tuition Fee Loan Amount,A loan amount which was used to pay tuition fees for a student's course.,gro-au:TuitionFeeAmount,Tuition Fee Amount,The amount of tuition fees charged to students by a provider during a reporting period.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8939,gro-au:StatementOfCoveredFees,Statement of Covered Fees,A written statement provided to a student indicating whether the provider accepts or does not accept their enrolment on the basis that all or part of their tuition fees will be covered by a VET Student Loan.,gro-au:VETStudentLoanCoveredFees,VET Student Loan Covered Fees,Fees covered by a VET Student Loan where enrolment is accepted on the basis that some or all tuition fees are covered fees.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8845,gro-au:TuitionFee,Tuition Fee,"A fee charged for tuition, which may be adjusted based on the portion of a course a student is required to complete.",gro-au:Fees,Fees,Tuition fees charged by an approved course provider for an approved course.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.884,gro-au:TuitionFee,Tuition Fee,"A fee charged for tuition, which may be adjusted based on the portion of a course a student is required to complete.",gro-au:TuitionFeeAmount,Tuition Fee Amount,The amount of tuition fees charged to students by a provider during a reporting period.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8828,gro-au:TuitionFees,Tuition Fees,Fees charged to a student for an approved course provided by a higher education provider.,gro-au:TuitionFeeAmount,Tuition Fee Amount,The amount of tuition fees charged to students by a provider during a reporting period.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8822,gro-au:WithdrawalDeferralProcess,Withdrawal and Deferral Process,Processes established by an approved course provider to manage student withdrawal from or deferral of their course.,gro-au:WithdrawalProcesses,Withdrawal Processes,Processes and procedures for a student to withdraw from an approved course.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8807,gro-au:Fees,Fees,Tuition fees charged by an approved course provider for an approved course.,gro-au:TuitionFeeResource,Tuition Fee Resource,Tuition fees charged to students for course enrollment.,cco:Resource,LIKELY MERGE (review labels/definitions),YES
gro-au,0.8795,gro-au:WithdrawFromCoursePart,Withdraw from Course Part,The action of a student withdrawing from a part of a course.,gro-au:StudentWithdrawal,Student Withdrawal,The process of a student withdrawing from an approved course.,cco:Action,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8789,gro-au:TuitionFee,Tuition Fee,"A fee charged for tuition, which may be adjusted based on the portion of a course a student is required to complete.",gro-au:TuitionFeeResource,Tuition Fee Resource,Tuition fees charged to students for course enrollment.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8775,gro-au:CancellationProcesses,Cancellation Processes,Processes for cancellation of enrolment in an approved course.,gro-au:ProcessesAndProcedures,Processes and Procedures,Documented processes and procedures for student withdrawal and enrolment cancellation in an approved course.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8728,gro-au:Fees,Fees,Tuition fees charged by an approved course provider for an approved course.,gro-au:FeeList,Fee List,"A list of fees charged for an approved course, including tuition fees for each part of the course.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8727,gro-au:Applicant,Applicant,An individual or organisation applying to become an approved provider under the relevant regulatory framework.,gro-au:ApplicantRole,Applicant Role,The role of an individual or organisation applying for provider suitability.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8724,gro-au:WithdrawalProcesses,Withdrawal Processes,Processes and procedures for a student to withdraw from an approved course.,gro-au:CancellationProcesses,Cancellation Processes,Processes for cancellation of enrolment in an approved course.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8679,gro-au:Loan,Loan,A financial resource representing a loan that can be accessed by a student for tuition fees.,gro-au:TuitionFeeLoanAmount,Tuition Fee Loan Amount,A loan amount which was used to pay tuition fees for a student's course.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8678,gro-au:VSLInformation,VSL Information,Information related to VET Student Loans that must be made available to students.,gro-au:VSLAdvice,VSL Advice,Advice regarding VET Student Loans (VSL) usage and VETSL debt obligations.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.866,gro-au:Enrolment,Enrolment,The process of registering or being registered as a student at an educational institution.,gro-au:EnrolmentEvent,Enrolment Event,"The event of a student enrolling in a unit of study, triggering reporting obligations.",cco:Action,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8637,gro-au:TuitionFee,Tuition Fee,"A fee charged for tuition, which may be adjusted based on the portion of a course a student is required to complete.",gro-au:TuitionFeeLoanAmount,Tuition Fee Loan Amount,A loan amount which was used to pay tuition fees for a student's course.,cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8621,gro-au:FeeInformation,Fee Information,Information about fees that must be provided to students before enrollment.,gro-au:PreEnrolmentInformation,Pre-Enrolment Information,"Information about course fees, census days, and provider processes that must be given to students before enrolment.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8619,gro-au:ApprovedProviderRole,Approved Provider Role,The role of an approved course provider under part 3 of the regulatory framework.,gro-au:ApprovedCourseDelivererRole,Approved Course Deliverer Role,A role held by a third party that is already an approved course deliverer under the relevant legislation.,cco:Role,REVIEW CAREFULLY (low confidence),YES
gro-au,0.8619,gro-au:TuitionFeeResource,Tuition Fee Resource,Tuition fees charged to students for course enrollment.,gro-au:TuitionFeeList,Tuition Fee List,"A list of tuition fees charged for each approved course, including fees for each part of the course.",cco:Resource,REVIEW CAREFULLY (low confidence),YES
