Sample_ID,Category,Class_URI_Short,Full_URI,Label,Definition,Comment,CCO_Parent,Total_Descendants,Sample_Descendants_5,Q1_Name_Correct,Q2_Definition_Correct,Q3_Parent_Correct
1,Concept Cluster,AcademicEligibilityRequirementPattern,https://w3id.org/cco-gro/onto#AcademicEligibilityRequirementPattern,Academic Eligibility Requirement,"A condition that must be satisfied by a student to demonstrate they meet the academic criteria required for enrollment or continuation in an educational program, as determined by the institution.","The name 'AcademicEligibilityRequirement' captures the universal concept of academic suitability/standing requirements without jurisdiction-specific terms. It is a subclass of cco:Condition and retains only axioms applicable to both aligned classes, satisfying the pattern's constraints on neutrality and universal applicability.",cco:Condition,2,AcademicallySuitable; ScholasticStandingRequirement,Yes,Yes,Yes
2,Concept Cluster,AcademicWithdrawalResourcePattern,https://w3id.org/cco-gro/onto#AcademicWithdrawalResourcePattern,Academic Withdrawal Resource,"A resource used to document or confirm a student's withdrawal from a study period, including details such as the date, time, and specific units of study affected by the withdrawal.","The name 'AcademicWithdrawalResource' is jurisdiction-neutral, avoids program-specific terminology, and reflects the universal purpose of the classes as resources for recording withdrawal details. It satisfies the pattern's constraints by being a subclass of cco:Resource and ensuring all axioms apply universally across aligned jurisdictions.",cco:Resource,2,NonPunitiveWithdrawalForm; WithdrawalConfirmationMechanism,Yes,Yes,Yes
3,Concept Cluster,AgreementGovernanceObligation,https://w3id.org/cco-gro/onto#AgreementGovernanceObligation,Agreement Governance Obligation,"An obligation to establish, maintain, and comply with formal agreements, including documentation, signing, and adherence to agreed terms.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Partial,Yes
4,Concept Cluster,AncillaryFeePattern,https://w3id.org/cco-gro/onto#AncillaryFeePattern,Ancillary Fee,"A fee or charge associated with educational services or institutional requirements that is not directly related to tuition, academic assessments, or qualification awards.","The term 'AncillaryFee' captures the supplementary nature of these charges across jurisdictions. It avoids jurisdiction-specific terms while encompassing mandatory fees, non-tuition fees, and membership fees as subclasses. The name satisfies the pattern's constraints by being jurisdiction-neutral and a subclass of cco:Resource.",cco:Resource,5,MandatoryFees; NonTuitionFee; NonTuitionFees; StudentMembershipFee; TuitionFeeCoveredGoodsAndServices,Yes,Yes,Yes
5,Concept Cluster,ApprenticeshipComplianceObligation,https://w3id.org/cco-gro/onto#ApprenticeshipComplianceObligation,Apprenticeship Compliance Obligation,"An obligation to comply with procedural, financial, and documentation requirements related to the establishment, execution, and funding of apprenticeship programs.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
6,Concept Cluster,ApprenticeshipFundingMisuseProhibition,https://w3id.org/cco-gro/onto#ApprenticeshipFundingMisuseProhibition,Prohibition on Misuse of Apprenticeship Funding,"A regulatory norm that prohibits the improper use of funds, rates, or incentives designated for apprenticeship programs.",,cco:Prohibition,0,(no per-jurisdiction descendants),Yes,Partial,Yes
7,Concept Cluster,ApprenticeshipSupportAndProgressionPermission,https://w3id.org/cco-gro/onto#ApprenticeshipSupportAndProgressionPermission,Apprenticeship Support and Progression Permission,"A permission that allows for the funding, support, training, and progression of apprentices through various stages of their apprenticeship journey.",,cco:Permission,0,(no per-jurisdiction descendants),Yes,Yes,Yes
8,Concept Cluster,AssessmentActionPattern,https://w3id.org/cco-gro/onto#AssessmentActionPattern,Assessment Action,"An action taken to evaluate an individual's knowledge, skills, or competence in an educational or training context.","The name 'AssessmentAction' is derived from the common functional purpose of evaluating competence across all jurisdictions. It maintains jurisdiction neutrality by avoiding program-specific terms and correctly positions as a subclass of cco:Action, satisfying the pattern's requirement to retain CCO hierarchy constraints.",cco:Action,3,AcademicSuitabilityAssessment; AssessmentAction; AssessmentActivity,Yes,Partial,Yes
9,Concept Cluster,AssessmentProcessObligation,https://w3id.org/cco-gro/onto#AssessmentProcessObligation,Assessment Process Obligation,"An obligation to carry out, manage, and maintain various stages and components of an assessment process, including development, execution, independence, documentation, and alignment.",,cco:Obligation,0,(no per-jurisdiction descendants),Yes,Yes,Yes
10,Concept Cluster,AssessmentProcessPattern,https://w3id.org/cco-gro/onto#AssessmentProcessPattern,Assessment Process,"A structured procedure for conducting and documenting the evaluation of knowledge, skills, or competencies through standardized methods.","The name 'AssessmentProcess' is jurisdiction-neutral, avoiding any region-specific terminology while capturing the core concept of procedural evaluation shared by both aligned classes. It maintains compatibility with the cco:Resource supertype and satisfies all pattern constraints by focusing on the universal aspect of assessment procedures across jurisdictions.",cco:Resource,2,AssessmentProcedure; EndPointAssessmentProcess,Yes,Yes,Yes
